Date,Size (SMB),Book-to-Market (HML),Operating Profitability (RMW),Asset Growth (CMA),Long-Term Reversals,Residual Variance (RVAR),Quality Minus Junk (QMJ),Low Beta (BAB),Amihud Illiquidity,Firm Age,Nominal Price,High Volume Premium,Gross Profitability,Return on Equity,Return on Assets,Profit Margin,Change in Asset Turnover,Accruals Factor,Net Operating Assets,Net Working Capital Changes,Cash Flow to Price,Earnings to Price,Enterprise Multiple,Sales to Price,Growth in Inventory,Sales Growth,Growth in Sales/Inventory,Abnormal Investment,CAPX Growth Rate,Debt Issuance Factor,Leverage Factor,1-Year Share Issuance,Total External Financing,Ohlson O-Score,Altman Z-Score,Piotroski F-Score
1926-01-31,0.0262122344351484,,,,,,,,,,0.0103532015393322,,,,,,,,,,,,,,,,,,,,,,,,,
1926-02-28,-0.0265400365334869,,,,,,,,,-0.0661188930312512,-0.0178326684100725,,,,,,,,,,,,,,,,,,,,,,,,,
1926-03-31,-0.0499086591192099,,,,,,,,,-0.0920124031374501,-0.0477858943447997,,,,,,,,,,,,,,,,,,,,,,,,,
1926-04-30,0.0026786434206177,,,,,,,,-0.0036086024479985,-0.0183212699868927,-0.0016381052096995,-0.0088631045635777,,,,,,,,,,,,,,,,,,,,,,,,
1926-05-31,-0.0069624292373399,,,,,,,,0.0055425295303683,-0.0096364176088716,-0.0067577049138632,0.0060016164135075,,,,,,,,,,,,,,,,,,,,,,,,
1926-06-30,-0.0046165760240591,,,,,,,,-0.0251245503825279,0.0038819409584368,-0.0019256221457715,-0.0199512826521581,,,,,,,,,,,,,,,,,,,,,,,,
1926-07-31,-0.0197703296869714,,,,,,,,-0.0125223579152066,0.0001363992914834,-0.0102941314066348,-0.0078079492653102,,,,,,,,,,,,,,,,,,,,,,,,
1926-08-31,0.0067763255612093,,,,,,,,-0.0020096069401022,-0.0229414194864533,-0.0168764676928951,0.0038610919360344,,,,,,,,,,,,,,,,,,,,,,,,
1926-09-30,-0.0098833488925823,,,,,,,,0.0011092283378214,-0.0024897056248805,-0.02905943861587,0.0072046294052047,,,,,,,,,,,,,,,,,,,,,,,,
1926-10-31,-0.0065085337081918,,,,,,,,0.0034797793491062,-0.010285935718413,-0.0152444539932413,0.0172229985933144,,,,,,,,,,,,,,,,,,,,,,,,
1926-11-30,-0.01008201904922,,,,,,,,-0.0066646852200364,-0.0218210181357871,-0.0066888419004316,-0.0156039497779631,,,,,,,,,,,,,,,,,,,,,,,,
1926-12-31,-0.0067438561582316,,,,,,,,-0.0110948681907303,-0.0011749012808923,0.0069818095469619,-0.0147371353998591,,,,,,,,,,,,,,,,,,,,,,,,
1927-01-31,0.0122117146013096,,,,,,,,0.0066764526138713,-0.001119695801791,0.0182877745598759,0.0089647435741982,,,,,,,,,,,,,,,,,,,,-0.0203220925048376,,,,
